Name;Type;Units or mass;Status;Launched;NORAD ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Launch brokerer;Oneliner
TUBSAT-N;Nanosatellite;8.5 kg;Reentry 2002-04-22. Was operational until 2000-XX-XX. More than two years of operation.;1998-07-07;25389;Custom;Shtil;Technische Universität Berlin ;University;Academic / Education;Germany;Unknown;Store and forward communication.
TUBSAT-N1;Nanosatellite;3 kg;Reentry 2000-10-20. Was operational until 1999-XX-XX. About 1 year operation.;1998-07-07;25390;Custom;Shtil;Technische Universität Berlin;University;Academic / Education;Germany;Unknown;Store and forward communication.
CanX-1;CubeSat;1U;No signal;2003-03-30;27847;P-POD (Poly-Picosatellite Orbital Deployer);Rokot;Space Flight Laboratory;Institute;Government (Civil / Military);Canada;Space Flight Laboratory (UTIAS-SFL);Demonstrate novel technologies for ADCS.
CUTE-I (Cubical Tokyo Tech Engineering Satellite-I);CubeSat;1U;Operational (Last SatNOGS report 2019-05-23 checked on 2019-05-24);2003-03-30;27844;P-POD (Poly-Picosatellite Orbital Deployer);Rokot;Tokyo Institute of Technology;University;Academic / Education;Japan;Space Flight Laboratory (UTIAS-SFL);Communication and solar panel deployment.
AeroCube-1;CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;The Aerospace Corporation;Non-profit;Government (Civil / Military);US;Cal Poly;Demonstrate CubeSat platform technologies and CMOS camera.
HAUSat-1 (Hannuri-1, Hankuk Aviation University SATellite-1);CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;Korea Aerospace University (Hankuk Aviation University);University;Academic / Education;South Korea;Cal Poly;Demonstrate CubeSat platform technologies with focus on ADCS.
KUTESat;CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;University of Kansas;University;Academic / Education;US;Cal Poly;Educational space systems engineering and taking photos.
Mea Huaka (Voyager);CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;University of Hawaii;University;Academic / Education;US;Cal Poly;Demonstrate CubeSat bus and test active antenna for high speed communication.
MEROPE (Montana Earth-Orbiting Pico-Explorer);CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;Montana State University;University;Academic / Education;US;Cal Poly;Measure the radiation of the Van Allen radiation belts.
PicPoT (Small Satellite of Politecnico di Torino);Nanosatellite;2.5 kg;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;Polytechnic University of Turin;University;Academic / Education;Italy;Cal Poly;Educational space systems engineering and taking photos.
RinCon 1;CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;University of Arizona;University;Academic / Education;US;Cal Poly;Independent low-power beacon system in analog form.
SACRED (AlcatelSat);CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;University of Arizona;University;Academic / Education;US;Cal Poly;Measure the total amount of radiation and test radiation effect on four commercial integrated circuits. 
SEEDS;CubeSat;1U;Launch failure;2006-07-26;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;Nihon University;University;Academic / Education;Japan;Cal Poly;Educational space systems engineering.
HIT-Sat;Nanosatellite;2.7 kg;Reentry 2008-06-18. Was operational until 2007-02-03, afterwards intermittent beacon.;2006-09-22;29484;Custom;M-V (M-5);Hokkaido Institute of Technology;University;Academic / Education;Japan;JAXA, ?;Demonstrate CubeSat platform technologies.
CAPE-1;CubeSat;1U;Was operational until XXXX-XX-XX, unknown time.;2007-04-17;31130;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;University of Louisiana at Lafayette;University;Academic / Education;US;Cal Poly;Educational space systems engineering.
CP3;CubeSat;1U;Was operational until? (Official website claims it was operational, Skyrocket and DK3WN claim no sigmals.;2007-04-17;31129;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;California Polytechnic University;University;Academic / Education;US;Cal Poly;Educational space systems engineering with focus on ADCS.
CSTB-1 (CubeSat TestBed 1);CubeSat;1U;Was operational until 2009-11-XX. Retired.;2007-04-17;31122;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;Boeing;Company;Commercial;US;Cal Poly;Demonstrate CubeSat platform technologies.
Libertad-1;CubeSat;1U;Was operational until 2007-05-07. DK3WN reports end there and show increasing problems. Written in Wiki that it was working over 2 years? Skyrocket claims nothing heard, but seems wrong.;2007-04-17;31128;P-POD (Poly-Picosatellite Orbital Deployer);Dnepr;Sergio Arboleda University;University;Academic / Education;Colombia;Cal Poly;Educational space systems engineering and transmission of Colombian national anthem.
AAUSAT2 (AAUSat-2, AAUSAT-II);CubeSat;1U;Operational (Last SatNOGS report 2019-05-23 checked on 2019-05-24);2008-04-28;32788;XPOD (eXperimental Push Out Deployer) [UTIAS/SFL];PSLV;Aalborg University;University;Academic / Education;Denmark;Space Flight Laboratory (UTIAS-SFL);Education space systems engineering with focus on ADCS and gamma-ray experiment.
Compass-1;CubeSat;1U;Was operational until 2012-04-14, retired (eoPortal).;2008-04-28;32787;XPOD (eXperimental Push Out Deployer) [UTIAS/SFL];PSLV;Aachen University of Applied Sciences;University;Academic / Education;Germany;Space Flight Laboratory (UTIAS-SFL);Demonstrate CubeSat platform technologies for educational purposes and GPS receiver. Camera to take photos.
SEEDS-2 (SEEDS-II, Space Engineering EDucation Satellite-2);CubeSat;1U;Operational (Personal contact 2018-08-07, Last SatNOGS report 2019-05-24 checked on 2019-05-24);2008-04-28;32791;XPOD (eXperimental Push Out Deployer) [UTIAS/SFL];PSLV;Nihon University;University;Academic / Education;Japan;Space Flight Laboratory (UTIAS-SFL);Demonstrate the reception of spacecraft parameter data.
CP6 (Polysat);CubeSat;1U;Reentry 2011-10-06. Was operational.;2009-05-19;35003;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;California Polytechnic University;University;Academic / Education;US;Cal Poly, ?;Backup to CP3 with focus on ADCS and deployment of spring steel tapes.
HawkSat I;CubeSat;1U;Reentry 2011-09-04. No signal.;2009-05-19;35004;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;Hawk Institute of Space Sciences;Company;Commercial;US;Cal Poly, ?;Demonstrate CubeSat platform technologies and materials experiment.
PharmaSat 1 (GeneSat-2);CubeSat;3U;Reentry 2012-08-14. Was operational until 2009-XX-XX. Beacon was turned off on 2009-06-15. Lost S-band contact before.;2009-05-19;35002;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;NASA Ames Research Center;Space agency;Government (Civil / Military);US;Cal Poly, ?;Controlled environment micro-laboratory packed with sensors and optical systems.
ITUpSAT-1;CubeSat;1U;Operational? (Last SatNOGS report with data 2019-02-08 checked on 2019-05-24);2009-09-23;35935;PSL / PSL-P (Picosatellite Launcher) [Astrofein];PSLV;Istanbul Technical University;University;Academic / Education;Turkey;ISILaunch;Educational space systems engineering and CMOS camera.
UWE-2;CubeSat;1U;Was operational, unknown time.;2009-09-23;35934;PSL / PSL-P (Picosatellite Launcher) [Astrofein];PSLV;University of Würzburg;University;Academic / Education;Germany;ISILaunch;Demonstrate CubeSat platform technologies with focus on ADCS. 
